time_s,theta_roll,omega_roll,control_roll,disturbance_roll,theta_pitch,omega_pitch,control_pitch,disturbance_pitch,theta_yaw,omega_yaw,control_yaw,disturbance_yaw
11687.0,0.0005243426798594631,3.857075367986554e-07,-2.6643274985632035e-05,2.7431199015017792e-05,0.0004904310870091445,-4.74919696822714e-07,-1.809330989428511e-05,1.9566837939813357e-05,-8.33568134951656e-06,-1.4223078668835099e-06,3.906183940596801e-06,-2.8863598153123913e-06
11689.0,0.0005251440803809024,4.064536345667765e-07,-2.675835925888471e-05,2.813838270903616e-05,0.0004895230427987179,-4.4740233926926157e-07,-1.8145511007761733e-05,1.9468444779029146e-05,-1.1163729682044453e-05,-1.413130880921322e-06,3.969074209342299e-06,-3.826570475405342e-06
11691.0,0.0005259978221675908,4.3406505642201747e-07,-2.6903419524738563e-05,2.862889245265531e-05,0.0004886609127635784,-4.2632391884194185e-07,-1.818007145118091e-05,1.9127463272043535e-05,-1.4007006918116668e-05,-1.4262932505659803e-06,4.089436260611798e-06,-4.833957136189742e-06
11693.0,0.0005269104703334031,4.637033886028091e-07,-2.706050211794795e-05,2.883026752503206e-05,0.0004878261800497039,-4.153324057841907e-07,-1.8184326698099187e-05,1.8590622671746528e-05,-1.690702333437611e-05,-1.4593952743819377e-06,4.263138986118343e-06,-5.764250899736579e-06
11695.0,0.0005278783324210566,4.902107507143535e-07,-2.7209711408123132e-05,2.871565191531727e-05,0.0004869953651811484,-4.1648119264861926e-07,-1.8150377897919423e-05,1.793555506353378e-05,-1.9895684452761238e-05,-1.5068868322798144e-06,4.47760315761362e-06,-6.485328245297523e-06
11697.0,0.0005288880424508919,5.089241216685512e-07,-2.733235097400819e-05,2.830803438226972e-05,0.00048614373710178296,-4.299049119930448e-07,-1.8076339076991573e-05,1.7258539117598196e-05,-2.2990249122707626e-05,-1.5609436500324372e-06,4.713787316407966e-06,-6.898070333828486e-06
11699.0,0.0005299186722259673,5.164115381352109e-07,-2.7413875449074094e-05,2.7676619121368827e-05,0.0004852492218073479,-4.537981841872976e-07,-1.7966635054531802e-05,1.6659299954977405e-05,-2.619060003599365e-05,-1.6127026027104427e-06,4.949193908348824e-06,-6.952011600360494e-06
11701.0,0.0005309450365648791,5.110139359849834e-07,-2.7446187004638453e-05,2.6925900031273333e-05,0.00048429589148093615,-4.84700650459807e-07,-1.7831303009422098e-05,1.6225264894291372e-05,-2.9479257599896024e-05,-1.65366102978778e-06,5.161421062026731e-06,-6.65330706554329e-06
11703.0,0.0005319416706384397,4.931070897883929e-07,-2.7428913916874832e-05,2.6179163512712e-05,0.00048327648327349494,-5.180432910430352e-07,-1.768440799279953e-05,1.6017760750567392e-05,-3.2824134978458135e-05,-1.677019140829259e-06,5.331699262087844e-06,-6.063760503058451e-06
11705.0,0.0005328868514758448,4.6504229602057353e-07,-2.7369469342526508e-05,2.5559024345106735e-05,0.0004821935500695199,-5.488697764033197e-07,-1.7541822510418787e-05,1.6062331829169014e-05,-3.618359934109931e-05,-1.678753575427572e-06,5.447854554419952e-06,-5.291066893889368e-06
11707.0,0.0005337660287333617,4.3077516471731263e-07,-2.728188103766455e-05,2.5168067598035893e-05,0.0004810590615571288,-5.726189663150913e-07,-1.7418720761244876e-05,1.634470719069759e-05,-3.951304025931812e-05,-1.6582526258753364e-06,5.506230459361361e-06,-4.471809669376447e-06
11709.0,0.0005345741230817877,3.952411251324599e-07,-2.718457678499218e-05,2.5072652794046778e-05,0.0004798925185844805,-5.858450173528136e-07,-1.7327183118839467e-05,1.681305386705732e-05,-4.277190824517848e-05,-1.6184128348648937e-06,5.512265164411048e-06,-3.749897104505515e-06
11711.0,0.0005353163293481495,3.6357623949125507e-07,-2.7097475139883982e-05,2.5292437289398656e-05,0.0004787178785041535,-5.867614095164852e-07,-1.727428905026998e-05,1.738616029541053e-05,-4.593011220201358e-05,-1.565181717621124e-06,5.4796328690829395e-06,-3.2538422807931135e-06
11713.0,0.0005360072976128502,3.4030634108402357e-07,-2.703884082945743e-05,2.579727290054281e-05,0.0004775597769257466,-5.755230023668966e-07,-1.726099958477654e-05,1.7966257985731675e-05,-4.897276576982691e-05,-1.5066188024996126e-06,5.428084847333943e-06,-3.076473613053711e-06
11715.0,0.0005366688215489401,3.2863251403495087e-07,-2.702240124614668e-05,2.6511965730777977e-05,0.00047643964237895683,-5.542015900281259e-07,-1.7282005734159148e-05,1.845445716257576e-05,-5.190253322233588e-05,-1.451623231160161e-06,5.380331074773895e-06,-3.2602792017436634e-06
11717.0,0.0005373263989635087,3.299257216638656e-07,-2.7055179295305522e-05,2.7328147725092643e-05,0.00047537231729581565,-5.264588144985922e-07,-1.732656681523044e-05,1.876635943261081e-05,-5.473920454967283e-05,-1.4085288022265009e-06,5.358454742785763e-06,-3.7906988153952938e-06
