time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_km,speed_mps,density_kgm3,sunlight,q_norm,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,control_x_Nm,control_y_Nm,control_z_Nm,disturbance_x_Nm,disturbance_y_Nm,disturbance_z_Nm
6680.0,2934777.739938213,3843711.9112015483,4866519.084773988,-6885.956092114417,2060.053768528838,2543.028741334191,482.6245934106735,7624.12014667983,9.147061073373413e-13,1.0,0.9999999741321811,0.9999998760688195,-0.00021126233118364232,-0.0001109333192909973,0.0003730800649043452,-7.19755247193037e-07,3.368708385619608e-07,-8.251470677676938e-07,9.312181381375651e-06,4.871566248537056e-06,-1.2567314277118815e-05,-9.290145930904673e-06,-4.8026634747672205e-06,1.243186385036614e-05
6690.0,2865738.253048793,3864074.349070133,4891647.080757224,-6921.674846901442,2012.587566235986,2482.76683321218,482.7475984180197,7623.924353382202,9.129448795985878e-13,1.0,0.999999974132089,0.9999998770625675,-0.0002148412399659196,-0.00010921019336848456,0.0003688568876705512,-7.117248167310373e-07,3.5317211263850457e-07,-8.63594483378695e-07,9.445730992609253e-06,4.766903668425174e-06,-1.2375006123324943e-05,-9.422808089465498e-06,-4.698933584773854e-06,1.224129481440869e-05
6700.0,2796345.8707713927,3883960.897579952,4916170.939871312,-6956.537967226153,1964.877814389447,2422.203772254884,482.8716133851679,7623.728512300568,9.111726239414727e-13,1.0,0.9999999741319927,0.9999998781099544,-0.00021837921437430527,-0.00010740615222807283,0.0003644427248818054,-7.033797932703418e-07,3.692469604592257e-07,-9.015353804604558e-07,9.577266583080982e-06,4.65866184510579e-06,-1.2176352668858292e-05,-9.553468403865514e-06,-4.59166046515934e-06,1.2044446758212566e-05
6710.0,2726609.1702736677,3903369.1508513372,4940087.688282236,-6990.541323711325,1916.9304190948155,2361.3470754153795,482.99662813726815,7623.532661485716,9.093895627894815e-13,1.0,0.999999974131892,0.9999998792077434,-0.0002218746923412787,-0.0001055223491460335,0.00035984015647837344,-6.94724604401398e-07,3.8508686660211875e-07,-9.389509601005107e-07,9.706730967171601e-06,4.546907603495037e-06,-1.1971466483892776e-05,-9.68207011722198e-06,-4.480910424824952e-06,1.1841431309568627e-05
6720.0,2656536.7694807835,3922296.7621979676,4963394.427489041,-7023.680893995969,1868.7513128719763,2300.204292296583,483.12263225276394,7623.336838704189,9.075959212989002e-13,1.0,0.9999999741317872,0.9999998803526022,-0.00022532613431443572,-0.0001035599796470704,0.00035505185572023724,-6.857638294923103e-07,4.006834406580656e-07,-9.758226975173975e-07,9.834068041585742e-06,4.431709628204622e-06,-1.1760463211165826e-05,-9.80855754853123e-06,-4.366751614055044e-06,1.1632363135196824e-05
6730.0,2586137.3260034453,3940741.444387213,4986088.334645481,-7055.952763100839,1820.3464539170627,2238.783004210341,483.24961506163885,7623.14108142699,9.05791927326329e-13,1.0,0.9999999741316781,0.9999998815411094,-0.00022873202400966794,-0.00010152028086846853,0.00035008058779248467,-6.765021973427181e-07,4.1602842156320464e-07,-1.0121323515946505e-06,9.959222812672054e-06,4.313138427186432e-06,-1.1543461505784842e-05,-9.932876119759165e-06,-4.249253988430823e-06,1.1417359881042443e-05
6740.0,2515419.1470100256,3958700.415461994,5008165.95919786,-7087.3521292119985,1771.7215538659668,2177.090487877862,483.3765895363372,7622.944343250012,9.03991637131589e-13,1.0,0.9999999741315251,0.999999882769818,-0.00023209081832078427,-9.940443912940412e-05,0.0003449289936581885,-6.669439597930537e-07,4.3111451196986327e-07,-1.0478604960999395e-06,1.0082138677259486e-05,4.191260928871166e-06,-1.1320576697737668e-05,-1.0054964360146682e-05,-4.128451529442809e-06,1.1196556717615454e-05
6750.0,2444391.754261096,3976172.613926049,5029626.03444334,-7117.877290575568,1722.8831490769428,2115.135038176254,483.50549654449617,7622.748828263038,9.021676069753402e-13,1.0,0.999999974131407,0.9999998840350376,-0.0002354011443675321,-9.721393512795758e-05,0.0003396004682496816,-6.570939572870958e-07,4.459385047016773e-07,-1.0829873085142345e-06,1.0202766427258047e-05,4.066152162795278e-06,-1.1091951984347912e-05,-1.0174786452726264e-05,-4.004493767613676e-06,1.0970048307158316e-05
6760.0,2373063.51891902,3993155.3806094336,5050465.26592528,-7147.523653322297,1673.8370127495944,2052.9240081996127,483.6353483683206,7622.553489710293,9.003339286895545e-13,1.0,0.9999999741312848,0.9999998853331862,-0.00023866151106967598,-9.495002982980925e-05,0.00033409782990497357,-6.469588986204635e-07,4.6048469204513683e-07,-1.1175006223245945e-06,1.032105450201995e-05,3.937894024096894e-06,-1.0857701448439914e-05,-1.0292282827745804e-05,-3.877417502704068e-06,1.073797500942382e-05
6770.0,2301443.2465499016,4009646.668549022,5070681.136443324,-7176.287735395552,1624.5891983870113,1990.465096665693,483.7661333281426,7622.358363770936,8.984908405471835e-13,1.0,0.9999999741311584,0.9999998866605688,-0.00024187050564041394,-9.261413022850037e-05,0.0003284241896464717,-6.365438643693023e-07,4.7474578837310473e-07,-1.1513831917153848e-06,1.043695246801321e-05,3.8065638597800563e-06,-1.0617955153720152e-05,-1.0407403578669096e-05,-3.7472995328025655e-06,1.050046576075351e-05
